"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-03-10","135","102","176.8","37.5","0.979","73","147"
"2014-03-11","169","128","193.3","41.7","0.901","54.7","134"
"2014-03-12","127","95.8","127.4","17.8","0.957","58","86"
"2014-03-13","83","45.8","111.3","22.9","0.511","39.9","112"
"2014-03-14","98","58.9","144.7","28.6","0.661","68.2","123"
"2014-03-15","116","75.3","180.4","60.8","1.22","96.3","132"
"2014-03-16","114","85.3","169","54.5","1.179","86.7","154"
"2014-03-17","106","76.9","153.2","38.3","0.975","82.8","153"
"2014-03-18","295","119.5","389.2","50.1","1.123","84.8","143"
"2014-03-19","154","72.6","218.4","21.2","0.579","48.1","75"
"2014-03-20","110","82.1","142.9","43.2","0.761","48.1","131"
"2014-03-21","93","58.6","133.1","33.2","0.588","70.3","113"
"2014-03-22","97","69.1","140.2","36.8","0.614","75.1","156"
"2014-03-23","91","65.6","128.7","32","0.535","63.3","152"
"2014-03-24","103","72.9","149.4","42.5","0.964","79.3","74"
"2014-03-25","116","86.2","123.4","25.5","1.226","69.4","83"
"2014-03-26","88","64.3","91.2","20.2","0.851","51.9","152"
"2014-03-27","118","77.8","120.9","25.4","0.845","52.1","179"
"2014-03-28","104","77","111.9","23.7","0.943","47.1","136"
"2014-03-29","159","120.7","174.6","24.8","1.317","63","47"
"2014-03-30","100","67.6","124.9","21.2","0.678","52.7","137"
"2014-03-31","74","45.6","96","33.2","0.666","54","120"
"2014-04-01","115","86.2","142.1","28.8","0.844","60.6","149"
"2014-04-02","107","77.4","142.1","28.5","0.839","56.4","181"
"2014-04-03","86","60.7","113.8","27.1","0.648","46.8","151"
"2014-04-04","92","49.8","132","34.5","0.6","65.5","167"
"2014-04-05","102","57.7","152.2","28.6","0.644","68.1","130"
"2014-04-06","66","23.4","80.1","23.1","0.417","35.9","120"
"2014-04-07","81","45.9","109.9","36.6","0.752","57.8","130"
"2014-04-08","105","78.4","124.3","21.6","0.84","63.9","151"
"2014-04-09","131","91.1","155.1","29.7","0.892","67.4","229"
"2014-04-10","136","89.4","162.3","34.7","0.787","68.9","226"
"2014-04-11","136","102","183.5","55.3","1.214","103.6","59"
"2014-04-12","58","38.7","51.1","10","0.574","40.9","83"
"2014-04-13","53","29.5","49.7","11.1","0.481","40.4","119"
"2014-04-14","101","75.4","125.4","24.5","0.741","50.8","177"
"2014-04-15","97","64.2","115.2","22.3","0.507","43.7","158"
"2014-04-16","86","62.9","91.6","16.7","0.649","46.7","100"
"2014-04-17","97","72.2","100.3","10.1","0.829","56.7","98"
"2014-04-18","87","63.8","99.8","10.5","0.741","51.7","86"
"2014-04-19","47","30.4","39.6","6.2","0.555","36.2","110"
"2014-04-20","65","45.5","74","18","0.496","55.2","70"
"2014-04-21","101","75.3","107","22.5","0.901","65.2","60"
"2014-04-22","86","58.7","95.3","21.8","0.644","55.7","154"
"2014-04-23","89","52.2","103.8","24","0.63","53.2","174"
"2014-04-24","89","50.3","96.7","19.8","0.623","41.3","186"
"2014-04-25","59","27.6","54.1","9.4","0.452","22.5","129"
"2014-04-26","70","50","76.4","6.6","0.74","33","63"
"2014-04-27","93","68.9","99.6","8.9","0.776","30.8","64"
"2014-04-28","70","46.8","76.7","15.2","0.683","35.3","129"
"2014-04-29","93","55.6","118.7","21.4","0.794","60.9","197"
"2014-04-30","112","65.7","157.9","29.2","0.879","80.2","227"
"2014-05-01","132","91.3","190.9","35.8","1.117","72","239"
"2014-05-02","143","71.5","234.2","33.4","0.864","67.8","142"
"2014-05-03","99","46.3","146.7","27.5","0.639","45.3","177"
"2014-05-04","97","59.5","141.2","29.1","0.904","72.2","84"
"2014-05-05","99","47.8","130.8","30","0.658","59.9","198"
"2014-05-06","111","57.6","135.1","27.1","0.683","58.5","221"
"2014-05-07","100","59","146.6","37.1","0.892","55.7","192"
"2014-05-08","127","81.3","191.7","31.9","0.893","63.3","234"
"2014-05-09","102","63.5","150","28.8","0.798","49.6","184"
"2014-05-10","73","51.3","82.7","12.7","0.591","30","97"
"2014-05-11","62","43","63","6.8","0.73","32","150"
"2014-05-12","111","69.9","134.9","25","1.078","64.2","193"
"2014-05-13","112","70.7","147","25","0.858","65.3","253"
"2014-05-14","119","83.2","151.8","21.9","1.001","49.5","235"
"2014-05-15","124","70.1","195","29","0.878","45.9","226"
"2014-05-16","143","88","220.4","28.6","1.107","74.7","269"
"2014-05-17","102","75.3","142.3","29.8","0.871","78.7","112"
"2014-05-18","129","95.9","156.1","32.7","0.916","55.8","161"
"2014-05-19","110","82.2","136.7","30.4","1.028","53.8","151"
"2014-05-20","145","105.4","166.4","14.5","1.013","51.5","232"
"2014-05-21","193","140.9","234.1","29.9","1.244","68.1","257"
"2014-05-22","142","82.3","144.5","27","0.644","34.2","222"
"2014-05-23","83","38","84.6","19.4","0.426","29.2","197"
"2014-05-24","74","46.8","80.3","17.2","0.62","47","101"
"2014-05-25","109","81.5","108.8","8.2","0.863","38","110"
"2014-05-26","147","91.8","224.4","23","0.805","61","214"
"2014-05-27","202","127.4","323.8","27.6","1.011","57.7","219"
"2014-05-28","183","127.2","267.7","27.7","0.955","78.1","357"
"2014-05-29","206","155.3","311.4","35.3","1.219","89","258"
"2014-05-30","268","219.8","336.3","29","1.43","62.5","222"
"2014-05-31","138","101.5","159.2","19","0.823","30.6","180"
"2014-06-01","73","53.4","66.6","11.6","0.709","30.2","96"
"2014-06-02","51","34.5","47.4","7.6","0.538","18","91"
"2014-06-03","66","44.9","66.1","12.1","0.493","25.4","123"
"2014-06-04","97","72","107.7","21.1","0.63","42.2","169"
"2014-06-05","129","96.9","153.7","29.5","0.897","53.1","259"
"2014-06-06","206","157.9","216.5","29.4","1.07","52.5","267"
"2014-06-07","201","153.6","209.4","30.6","1.04","51.8","300"
"2014-06-08","200","149.4","204.1","34.1","0.994","43.1","318"
"2014-06-09","113","80.5","115.3","16.7","0.528","24.7","229"
"2014-06-10","105","76.7","124.6","33.5","0.664","46.2","204"
"2014-06-11","108","75.3","125","33","0.773","52.7","254"
"2014-06-12","107","71.4","117.7","28.3","0.596","50.7","199"
"2014-06-13","130","88.1","153.4","34.6","0.955","73","268"
"2014-06-14","142","102.1","172","34.8","1.014","67.1","291"
"2014-06-15","195","148.1","195.3","29.5","1.128","73.9","160"
"2014-06-16","118","88.3","112.5","16.8","0.716","56.9","63"
"2014-06-17","62","43.3","60.2","5.1","0.606","27.7","83"
"2014-06-18","103","76.3","105.2","10.4","0.791","38.5","141"
"2014-06-19","125","94.1","130.9","16.9","0.762","35.6","193"
"2014-06-20","138","103.8","150.5","14.6","0.896","41.4","99"
"2014-06-21","130","97.2","134.3","10.7","0.623","39.9","41"
"2014-06-22","91","67.6","97.4","15.5","0.817","35.7","146"
"2014-06-23","98","71.8","110.4","17.8","0.757","41.5","155"
"2014-06-24","117","83.9","128.3","19.7","0.8","42.2","222"
"2014-06-25","87","64","89.8","12.2","0.709","38","125"
"2014-06-26","57","40.2","46.6","7.5","0.946","45","50"
"2014-06-27","77","55.9","72.8","7.1","0.518","34","126"
"2014-06-28","124","93.1","127.7","21.3","1.113","52","197"
"2014-06-29","217","166.3","225.7","24.4","1.454","75.4","192"
"2014-06-30","177","137.8","187.2","16","0.898","48.6","145"
"2014-07-01","116","86.4","104.3","10.3","0.796","39.5","92"
"2014-07-02","76","54.7","64.4","7.2","0.996","36.2","96"
"2014-07-03","119","89.1","119.7","14.2","1.009","46","215"
"2014-07-04","153","114.9","145.1","17.9","1.085","53.3","101"
"2014-07-05","46","27.5","39","7.5","0.525","33","71"
"2014-07-06","47","28.5","42.6","7.3","0.495","28.1","108"
"2014-07-07","72","48","74.5","12.5","0.587","53.2","158"
"2014-07-08","121","91","123.3","14.5","0.748","46","189"
"2014-07-09","85","62.1","86.9","16.1","0.635","40.1","81"
"2014-07-10","100","71.2","109","12.4","0.739","40.5","196"
"2014-07-11","143","107.9","159.3","9.7","0.987","49.6","191"
"2014-07-12","108","80","102.4","6.5","0.888","37.3","84"
"2014-07-13","80","58","79.5","9.3","0.918","26.9","151"
"2014-07-14","86","58.8","92.1","23.5","0.988","41.8","176"
"2014-07-15","60","35.5","66.4","15.5","0.657","36.3","101"
"2014-07-16","36","18.5","34.8","13.8","0.608","25.7","47"
"2014-07-17","47","25.6","53","16.9","0.819","43.7","63"
"2014-07-18","133","99.8","146.3","23.7","1.192","64.7","149"
"2014-07-19","114","78.2","114.7","17.3","0.91","36.1","219"
"2014-07-20","108","66.1","97.4","14.7","0.74","33.7","195"
"2014-07-21","107","72.2","109.5","16.7","0.837","29.5","203"
"2014-07-22","108","68.2","104.3","15.5","0.784","27.8","216"
"2014-07-23","71","36.5","66.7","11","0.586","20.2","186"
"2014-07-24","60","31","66.5","9.6","0.64","20.3","139"
"2014-07-25","81","58.9","71.8","3.5","0.702","14.2","71"
"2014-07-26","170","128.6","160.6","12.4","0.903","40.4","95"
"2014-07-27","67","47.2","61.6","9.3","0.97","28.5","75"
"2014-07-28","82","59.6","80.4","13.5","0.946","28.2","206"
"2014-07-29","131","98.6","127","14","1.155","35.9","177"
"2014-07-30","95","68.9","98.8","23.2","0.927","26.5","161"
"2014-07-31","61","37.9","60.1","9.1","0.67","30.6","188"
"2014-08-01","37","19.3","36.1","7.7","0.435","19.9","28"
"2014-08-02","57","37.2","50.8","14.7","0.691","18.4","67"
"2014-08-03","82","59.5","84.4","13.5","0.62","24.6","95"
"2014-08-04","128","95.8","125.3","20.8","0.902","40","161"
"2014-08-05","125","93.2","123.3","20.7","1.059","32","109"
"2014-08-06","92","67.6","95.3","14.6","0.902","36.3","118"
"2014-08-07","68","48.3","69.9","6.5","0.581","24.1","33"
"2014-08-08","28","17.6","26.5","5.4","0.508","20","37"
"2014-08-09","37","25.2","32","5.7","0.423","21.7","24"
"2014-08-10","58","40.3","53","5.3","0.604","18.3","60"
"2014-08-11","88","64.5","95.9","10.9","0.935","38","88"
"2014-08-12","90","65","120.1","17.5","0.952","34.3","90"
"2014-08-13","50","29.4","59.8","8.8","0.757","32.8","50"
