"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-03-11","243","194.4","247","98.1","2.481","87.7","84"
"2014-03-12","80","49.5","103.1","49.2","1.135","41.5","74"
"2014-03-13","89","63.7","100.4","77.7","1.585","61","67"
"2014-03-14","83","40.4","115","39.2","0.975","43.7","75"
"2014-03-15","173","131","235.3","101.1","2.272","89.6","75"
"2014-03-16","193","146.3","212.7","79.1","2.129","77.1","65"
"2014-03-17","219","128.5","268.1","73.3","2.026","67.3","64"
"2014-03-18","134","65.6","193.7","52","1.405","56.7","76"
"2014-03-19","97","71.6","108.5","47.9","1.446","72.3","59"
"2014-03-20","60","37.2","65.8","27.3","1.021","45","75"
"2014-03-21","126","93.3","136.2","59.2","1.885","74","91"
"2014-03-22","140","91.5","182.1","46.3","1.397","59.5","84"
"2014-03-23","211","162.1","232.6","78.8","2.464","89.6","110"
"2014-03-24","181","139.1","174.3","65.3","1.631","69.7","118"
"2014-03-25","230","179.1","235.5","68","1.836","89.8","111"
"2014-03-26","252","201.5","252.6","58.9","1.997","82.3","125"
"2014-03-27","217","168.7","242.3","48.6","2.372","86.5","83"
"2014-03-28","236","185.4","272.2","52.5","3.165","106.6","24"
"2014-03-29","171","129.6","158.5","35.5","2.733","60.9","95"
"2014-03-30","157","114.4","166.2","30.7","1.798","65.3","103"
"2014-03-31","188","144.1","223","47.7","1.721","75.7","118"
"2014-04-01","151","113.5","147","38.6","1.34","58.2","134"
"2014-04-02","139","96.8","167.9","35.3","1.105","54.1","87"
"2014-04-03","84","33.1","116.9","12.6","0.66","31","89"
"2014-04-04","96","46.7","139.7","32.4","0.936","41","96"
"2014-04-05","105","33.3","158.6","16","0.802","34.5","86"
"2014-04-06","117","67.8","179.9","40","1.126","44.6","106"
"2014-04-07","120","89.7","165.9","41.3","1.275","48.7","117"
"2014-04-08","186","142","228.4","52.9","1.82","75.2","159"
"2014-04-09","190","127.3","217.9","32.9","1.619","41.9","145"
"2014-04-10","183","67.5","266.5","29.8","1.396","47.1","73"
"2014-04-11","96","71.5","123","56.5","2.15","87.5","56"
"2014-04-12","117","86.2","158.8","43.1","1.678","90.6","79"
"2014-04-13","196","149.5","195.4","43.5","1.727","71.8","140"
"2014-04-14","174","129.5","174.8","30.3","1.364","51","145"
"2014-04-15","119","76.8","153.1","38","1.136","62.6","62"
"2014-04-16","116","71.6","180.7","51.9","1.704","77.1","90"
"2014-04-17","146","111.1","166","39.9","2.294","80.4","55"
"2014-04-18","119","89.5","116.4","32.4","1.464","54.6","84"
"2014-04-19","90","61","111.2","28.4","1.392","69.8","82"
"2014-04-20","108","78.4","127.5","21.1","1.496","67.2","93"
"2014-04-21","156","116.4","176.8","29.6","1.403","57","113"
"2014-04-22","127","93.1","140","36.7","1.482","44.6","120"
"2014-04-23","138","104","149.5","28.4","1.126","32","119"
"2014-04-24","121","91.2","130.6","45.2","1.189","47.6","160"
"2014-04-25","104","74.8","140.5","45.7","1.227","56.5","173"
"2014-04-26","66","42.5","77.5","10.6","1.27","31.8","65"
"2014-04-27","101","73","113.9","30.5","2.268","50.3","92"
"2014-04-28","81","54.6","105.3","25.3","1.286","54.8","105"
"2014-04-29","97","69.1","132","36.1","1.328","60","154"
"2014-04-30","108","76.2","136.5","35.8","1.184","52.9","176"
"2014-05-01","115","79.6","159","45","1.304","40.6","183"
"2014-05-02","57","28.8","65.1","5.4","0.741","21.3","101"
"2014-05-03","98","40.2","143.2","21.1","0.968","36.3","119"
"2014-05-04","73","28.8","93.9","4.3","0.726","19.9","80"
"2014-05-05","59","32.4","69","18.7","1.026","40.4","95"
"2014-05-06","100","71.2","139.7","51.1","1.448","58.1","102"
"2014-05-07","102","74.3","114.4","22.4","1.569","43.3","121"
"2014-05-08","83","60.1","88","25.9","1.545","52","114"
"2014-05-09","78","51.9","101.4","31","1.41","49.4","111"
"2014-05-10","64","39.3","73.6","18.8","1.053","44.3","106"
"2014-05-11","46","29.1","21.2","7.7","1.141","25.6","95"
"2014-05-12","69","45.5","71.4","21.7","1.323","37.4","121"
"2014-05-13","95","66.9","129","35.4","1.193","53.8","176"
"2014-05-14","65","30.6","80","10.7","0.708","33","76"
"2014-05-15","116","74.7","178.9","42.1","1.384","63","102"
"2014-05-16","112","76","167","42.3","1.847","61","123"
"2014-05-17","79","53","97.3","25.8","1.504","65","98"
"2014-05-18","95","66.1","127.7","55.8","1.337","58","183"
"2014-05-19","143","108","183","44.6","1.698","49.5","162"
"2014-05-20","161","119","174.5","23.8","1.838","41.1","140"
"2014-05-21","200","153.9","214.7","36.1","2.136","64.8","159"
"2014-05-22","154","114.5","176.5","24.9","1.346","55.6","132"
"2014-05-23","136","98.8","168.7","39.6","1.418","53.2","176"
"2014-05-24","106","71.7","108","16.8","1.097","45.7","68"
"2014-05-25","158","112","172.2","12.6","1.218","46.5","96"
"2014-05-26","85","47","114","32.2","1.209","52.7","107"
"2014-05-27","130","66.4","205.1","26.7","1.29","51.4","91"
"2014-05-28","84","46","111.9","24.6","1.137","58.7","122"
"2014-05-29","100","60.6","133","35.6","1.338","61.2","203"
"2014-05-30","133","95.8","196.6","49.9","2.148","66.3","206"
"2014-05-31","159","120.1","212.6","34.3","2.199","72.6","193"
