"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-03-10","109","81","100.9","53.4","1.672","72.2","57"
"2014-03-11","205","154.8","195.7","76","2.355","80.4","87"
"2014-03-12","37","10.6","22.7","9","0.408","25.7","85"
"2014-03-13","56","19.6","75","14.3","0.61","36.7","90"
"2014-03-14","62","20.6","78.8","13.3","0.506","31.2","93"
"2014-03-15","129","94","172.7","43","1.464","89.1","86"
"2014-03-16","152","113","198.3","76.5","2.112","72.2","117"
"2014-03-17","182","82.9","240.7","26.9","1.198","49.7","81"
"2014-03-18","88","37.2","123.8","17","0.623","36.2","101"
"2014-03-19","75","46.1","93","16.9","0.772","45.8","85"
"2014-03-20","38","10.3","27","5.2","0.382","22.5","92"
"2014-03-21","55","24.8","64","11","0.622","43.4","102"
"2014-03-22","83","46.8","114.6","16.3","0.841","53.4","109"
"2014-03-23","176","134.1","182.7","43.6","1.554","68.9","167"
"2014-03-24","270","220.1","249.2","52.9","1.985","93.3","144"
"2014-03-25","250","199.7","236.6","42.8","1.611","92.2","186"
"2014-03-26","319","268.9","318.3","42.9","1.96","110.5","181"
"2014-03-27","294","249.3","300.3","33.7","2.367","106.7","31"
"2014-03-28","169","127.5","170.8","24.6","1.686","66","104"
"2014-03-29","72","39.1","76","7","0.58","36.6","99"
"2014-03-30","64","31.4","77.6","8","0.54","57.7","100"
"2014-03-31","172","132.9","183.2","34.5","1.754","80.5","109"
"2014-04-01","138","104.4","117.5","17.1","0.924","60.3","142"
"2014-04-02","132","99.3","158.5","20.7","0.987","57.6","152"
"2014-04-03","64","22.7","79.5","5.7","0.457","36.1","100"
"2014-04-04","92","31.7","131.5","8.4","0.561","39.6","109"
"2014-04-05","65","21.8","80.3","5.9","0.383","29","107"
"2014-04-06","97","52.7","142.8","12.3","0.655","58.2","124"
"2014-04-07","133","97.3","175.7","19.9","0.799","62.2","181"
"2014-04-08","224","173.5","237.3","37.7","1.469","82.2","212"
"2014-04-09","194","121.3","238.8","19.2","0.904","50.3","114"
