"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-03-11","78","51.8","92.6","21","0.627","36.5","143"
"2014-03-12","42","29","30.9","14.6","0.744","46.3","74"
"2014-03-13","59","35.7","66.3","20.2","0.642","41.4","121"
"2014-03-14","106","79.7","119.2","39.7","1.02","83.6","110"
"2014-03-15","114","85.5","125","29.9","0.784","72.4","151"
"2014-03-16","94","69.8","107.2","23","0.743","56.5","160"
"2014-03-17","106","79.3","111","24.3","1.02","69.8","148"
"2014-03-18","183","137.5","202.6","35.4","1.407","90.7","194"
"2014-03-19","124","69.3","193.1","13.8","0.77","43.1","102"
"2014-03-20","89","61.2","97.7","17.8","0.755","37.7","121"
"2014-03-21","59","25.4","67.3","14.7","0.55","45.7","109"
"2014-03-22","65","41","75.8","16.8","0.589","51.3","149"
"2014-03-23","54","30","54.3","11.4","0.449","26.8","113"
"2014-03-24","53","31.1","55.1","14.6","0.577","35.2","114"
"2014-03-25","79","57.4","73.4","19.2","0.993","68.9","89"
"2014-03-26","113","85","99.3","23.2","1.2","68.9","105"
"2014-03-27","58","40.4","55.7","10.4","0.592","47.8","108"
"2014-03-28","56","38.2","41.9","8.4","0.642","37.1","103"
"2014-03-29","91","67.1","74.9","16.4","1.219","65","65"
"2014-03-30","129","97.1","117.2","23.9","1.039","48.9","137"
"2014-03-31","81","59.4","67.6","14.2","0.638","46.7","115"
"2014-04-01","68","46.1","61.4","12.5","0.676","44.5","125"
"2014-04-02","64","45.3","62","15.3","0.579","52.5","94"
"2014-04-03","69","47.2","62","15.1","0.555","44.2","140"
"2014-04-04","75","46.6","93.6","27","0.665","61.3","133"
"2014-04-05","88","59","104.9","24.5","0.703","54.8","124"
"2014-04-06","51","18.5","52.7","10.6","0.366","30.9","105"
"2014-04-07","58","34.3","56","11.6","0.502","36.4","124"
"2014-04-08","88","64.8","75.5","16.6","0.749","63.8","125"
"2014-04-09","90","66.9","69.5","11.9","0.686","48.3","153"
"2014-04-10","85","59.6","75.7","13.6","0.655","56.3","167"
"2014-04-11","70","50.1","68.8","9.9","0.572","35.3","122"
"2014-04-12","80","57.6","65.4","11.8","0.791","45.4","83"
"2014-04-13","67","44.8","35.7","11.6","0.702","30.7","115"
"2014-04-14","89","66.1","80.5","14.4","0.774","56.7","155"
"2014-04-15","79","49","64.9","15.7","0.647","41.8","148"
"2014-04-16","63","42.3","58","10.7","0.643","47.2","103"
"2014-04-17","183","140.8","157.7","30.3","1.504","87.4","46"
"2014-04-18","98","72.8","45","18.8","0.873","45.9","108"
"2014-04-19","47","23.8","21.5","8.1","0.614","28","117"
"2014-04-20","53","34.8","48.5","9.4","0.547","28.5","108"
"2014-04-21","64","45.9","51.3","10.5","0.684","46.3","119"
"2014-04-22","74","53.5","63","14.7","0.759","56.1","123"
"2014-04-23","101","71.3","97","17.4","1.021","71.6","136"
"2014-04-24","78","53.7","62.9","12","0.674","32.4","137"
"2014-04-25","56","28.2","49.1","8.8","0.545","23","128"
"2014-04-26","42","16.2","21.5","7.5","0.51","21.9","90"
"2014-04-27","85","58.3","61.8","15","0.983","42.6","94"
"2014-04-28","75","54.2","61.2","19.5","0.843","40.4","86"
"2014-04-29","103","73.7","101.4","32.7","1.045","58.5","173"
"2014-04-30","85","61","90.7","18.2","0.895","66.6","161"
"2014-05-01","122","92.3","122.9","21.8","0.852","45","206"
